date,0,1,2,3,4,5,6
1/3/2016,-0.383817161,-0.212375651,-0.722786519,-0.576028596,0.501499985,-0.07848262,-1.471990561
1/10/2016,-0.132168416,-0.320418839,-0.847942873,-0.579700497,0.500649934,-0.077005797,-1.456586488
1/17/2016,0.173917527,-0.386602577,-0.935873067,-0.582448184,0.499521116,-0.075523086,-1.307008271
1/24/2016,0.353227982,-0.419204829,-0.980352678,-0.584255265,0.498111272,-0.074034574,-1.206508091
1/31/2016,0.351915296,-0.421181844,-0.975392342,-0.585087264,0.496418145,-0.072540351,-1.20586836
2/7/2016,0.144843465,-0.374802802,-0.918173361,-0.584837363,0.494439476,-0.071040506,-1.309571091
2/14/2016,-0.293488415,-0.259414315,-0.815033768,-0.58338147,0.492173821,-0.069535127,-1.528679273
2/21/2016,0.27531457,-0.066903042,-0.67454201,-0.580598746,0.489622986,-0.068024304,-0.625130546
2/28/2016,-0.169473039,0.152294837,-0.505266537,-0.576369167,0.486789592,-0.066508125,-0.678532439
3/6/2016,-0.252619276,0.308722717,-0.315775798,-0.570572706,0.48367626,-0.064986679,-0.411555481
3/13/2016,-0.228294019,0.372288138,-0.114638242,-0.563089338,0.48028561,-0.063460055,-0.116907906
3/20/2016,0.016937663,0.351974521,0.090007011,-0.553799037,0.476620263,-0.061928343,0.319812077
3/27/2016,0.250201433,0.260912263,0.291731748,-0.542581778,0.472682838,-0.06039163,0.672554873
4/3/2016,0.003159292,0.117612219,0.484511464,-0.529317535,0.468475957,-0.058850007,0.48559139
4/10/2016,-0.240678184,-0.035756361,0.661799909,-0.513886283,0.46400224,-0.057303561,0.278177761
4/17/2016,-0.252645104,-0.153815388,0.816120006,-0.496167996,0.459264307,-0.055752382,0.317003443
4/24/2016,-0.108435497,-0.214833291,0.944001411,-0.476042648,0.454264779,-0.054196559,0.544758195
5/1/2016,-0.001005764,-0.224175773,1.043104296,-0.453390215,0.449006277,-0.05263618,0.760902641
5/8/2016,0.157317004,-0.193078516,1.111343669,-0.428090669,0.44349142,-0.051071334,1.039911574
5/15/2016,0.202284312,-0.133796531,1.147653864,-0.400023987,0.437722829,-0.049502111,1.204338376
5/22/2016,-0.017619696,-0.058441487,1.151237683,-0.369083777,0.431703126,-0.047928599,1.089867249
5/29/2016,-0.14559366,0.022467659,1.12140728,-0.335273001,0.425434929,-0.046350887,1.04209232
6/5/2016,0.036708025,0.091920908,1.05770767,-0.298827481,0.418920861,-0.044769064,1.261660918
6/12/2016,0.082107089,0.106149189,0.961318007,-0.260037846,0.41216354,-0.04318322,1.25851676
6/19/2016,-0.057459777,0.034620834,0.839401207,-0.219194725,0.405165588,-0.041593442,0.960939685
6/26/2016,0.043539376,-0.065397473,0.699365199,-0.176588749,0.397929625,-0.03999982,0.85884816
7/3/2016,-0.042203176,-0.077844134,0.548284338,-0.132510546,0.390458272,-0.038402442,0.647782312
7/10/2016,-0.012191798,-0.013378529,0.393761585,-0.087250745,0.382754149,-0.036801398,0.626893263
7/17/2016,-0.001308717,0.061228948,0.245336449,-0.041099977,0.374819877,-0.035196777,0.603779803
7/24/2016,0.072497576,0.076475693,0.110530862,0.00565113,0.366658075,-0.033588667,0.59822467
7/31/2016,0.006995553,-0.00125605,-0.010999315,0.052711946,0.358271365,-0.031977157,0.373746342
8/7/2016,-0.065646359,-0.090275394,-0.122831743,0.099791842,0.349662367,-0.030362336,0.140338376
8/14/2016,0.047537264,-0.099336242,-0.229303751,0.146600189,0.340833702,-0.028744294,0.177586867
8/21/2016,0.006262835,-0.023504039,-0.336030489,0.192846356,0.331787989,-0.027123118,0.144239533
8/28/2016,-0.021843726,0.078009289,-0.447589255,0.238239716,0.322527849,-0.025498899,0.143844975
9/4/2016,0.031902793,0.143478027,-0.567824929,0.282489638,0.313055904,-0.023871724,0.179229708
9/11/2016,-0.044598099,0.16035175,-0.699100519,0.325305493,0.303374773,-0.022241683,0.023091715
9/18/2016,-0.00496044,0.127175477,-0.841719913,0.366396652,0.293487076,-0.020608865,-0.080230012
9/25/2016,0.033058434,0.052204252,-0.989232382,0.405472485,0.283395435,-0.018973358,-0.234075133
10/2/2016,-0.031022164,-0.06810353,-1.133498544,0.442242364,0.27310247,-0.017335252,-0.534614656
10/9/2016,0.057712005,-0.203575612,-1.266379014,0.476415658,0.262610801,-0.015694635,-0.688910798
10/16/2016,-0.030296331,-0.264274257,-1.379734412,0.507701738,0.251923048,-0.014051596,-0.928731809
10/23/2016,-0.165094091,-0.191990291,-1.465508626,0.535809976,0.241041833,-0.012406225,-1.058147425
10/30/2016,-0.151849068,0.023580845,-1.515978645,0.560449741,0.229969775,-0.010758609,-0.864585961
11/6/2016,0.204436988,0.248242495,-1.523539807,0.581365484,0.218709496,-0.009108839,-0.279894182
11/13/2016,-0.046112065,0.341761705,-1.480714249,0.598428453,0.207263615,-0.007457002,-0.386829544
11/20/2016,-0.147077484,0.286020243,-1.381680507,0.611490866,0.195634753,-0.005803188,-0.441415318
11/27/2016,-0.137545533,0.100798991,-1.228392881,0.62039059,0.183826359,-0.004147486,-0.465069961
