date,白萝卜,白条鸡,白条猪,大黄花鱼,豆粕,牛肉,农产品批发价格200指数,sz,羊肉,玉米,进口量(吨),出口量(吨),进口金额(万美元),出口金额(万美元)
2021-05-02,-0.0536558413276957,0.0281354199130426,-2.60590005985904,-0.227605118444735,35.7145170708755,-0.303344645214437,-0.612307530814198,-1.591783087492,0.542990905819799,-15.8142013397666,5023.87079080811,54.7216036067794,1147.84171402863,-31.3271189100577
2021-05-09,-0.13320339782937,-0.119653606901706,-2.96284292377624,-0.274683924626787,16.5606636386833,-0.637922629447061,-2.01694792723982,-1.94872229482813,0.101584060963777,-15.2591988264631,5550.2582267273,33.4684667135587,1303.31248688169,-38.087185341663
2021-05-16,-0.181021138741279,-0.141348600195008,-3.9055836851681,-0.247993982305983,-13.7151893854642,-0.435200009619738,-4.05830032694155,-3.07917635373841,-0.0447120382569704,-11.2234784515503,5635.11765285153,34.3804056600457,1319.10837310077,-36.9175002637654
2021-05-23,-0.226400048159334,-0.232855814922763,-4.54176777416175,-0.611949216426117,-35.1422641004448,-0.549297835401838,-5.81936993791726,-3.45182420736805,-0.179021719265185,-1.28956973425368,5723.89163045341,35.0767819016498,1336.3237435532,-35.7560595368131
2021-05-30,-0.20748331102959,-0.372756574308923,-4.57569769253315,-0.596211834824126,-102.440167760841,-0.598628819140376,-6.22559946609258,-3.0740857660657,-0.530905587987884,-11.1307629107627,3601.51955197765,-93.9550382676106,924.217496776233,-93.2851322156047
2021-06-06,-0.232130588306276,-0.354374130704547,-4.53808234331063,0.148508451932233,-124.948522028542,-0.665761138039436,-7.3741773453366,-3.03023764247714,-0.59721529300067,-3.26700985650034,2843.42123832793,107.100126670661,1033.28708023575,3.41509984777003
2021-06-13,-0.248769175881581,-0.341493972947719,-4.53727766171493,0.10344267954252,-134.334810181457,-0.830562307494956,-8.33130475354908,-3.07212254153105,-0.682777131662217,-9.29275262433082,2924.4809565307,109.336553912361,1048.16124317222,4.85171859122045
2021-06-20,-0.213199776743026,-0.302358198781058,-4.33439796701343,-0.235239064764141,-139.57384063375,-0.991104045435669,-8.38886717736979,-2.87134506117108,-0.943360756683496,-2.91431774467567,3004.67797603709,111.557782958738,1062.87531410763,6.29178445395109
2021-06-27,-0.153764700545341,-0.320167604741182,-3.94246336929737,0.0717619380067584,-147.682013615696,-1.28900866363295,-8.37274238495756,-2.70297052739644,-1.26646843379564,-1.11041041313595,2933.87550908478,166.282485407794,1044.7523727432,20.3427100256633
2021-07-04,-0.0906822346672407,-0.444412173119443,-2.86942604325465,0.0260174471300812,-165.22809404766,-1.41340604106954,-8.45584087510945,-1.42523649118143,-1.48921443210688,2.09125942741922,6729.64453126189,243.862088023327,1518.46621172786,2.67265475088452
2021-07-11,-0.0828565987805849,-0.579352368530265,-1.55280441307716,0.151351730791603,-138.837091842251,-1.42161505048897,-7.90261800553453,-0.0970301471270861,-1.68506364690836,21.829043521431,6812.33364454154,245.834850133285,1534.40808494905,4.10482462746295
2021-07-18,-0.122100150241726,-0.559744002999212,-0.782048166435402,0.763825839863559,-127.927610365962,-1.51784060274774,-7.09740267350625,0.0612705409093554,-1.70953958368198,28.285264510028,6897.23111048378,247.676518833751,1551.19760738722,5.53097369620314
2021-07-25,-0.118105679362649,-0.498735847689806,-0.832402214799574,-0.0424287749566454,-120.881334615087,-1.56897686606259,-6.67969250853061,-0.053942897710717,-1.56720983839769,25.4129271747216,6984.76357592795,249.376760741576,1568.9635964848,6.95135560237355
2021-08-01,-0.0499112262185267,-0.462416583164408,-0.884636188892317,0.0802842298241171,-129.055566159269,-1.76018665988426,-6.34046093738101,-0.10926988955999,-1.36441925392149,30.8540299405313,-2482.42550377463,547.154353359752,-1572.49340363952,178.052274668038
2021-08-08,-0.0203366939232284,-0.359414590916981,-0.327946075565395,0.00836695150470874,-108.053693738606,-1.79495567656189,-6.02969059820644,0.459523865695553,-1.39557885222402,47.7841591963533,-4172.84540604782,15.6728741458114,-1820.92481130818,-13.1888085728219
2021-08-15,0.0258125592165641,-0.272909590640982,-0.00131996868435871,0.00525748185109491,-113.593682682619,-1.49061166925655,-5.39476621475889,0.567785284252975,-1.46133445212068,53.6489690283462,-4075.70572033492,16.9418631083669,-1799.73622837485,-11.7744576414673
2021-08-22,0.0304769377130432,-0.072051602568433,0.322276504105938,-0.0272365319165007,-108.439199568442,-1.25270059216071,-4.60190760250294,0.768466565516707,-1.34924094290326,52.9076781450992,-3974.99977342904,18.073969245119,-1777.30769272696,-10.3571281900636
2021-08-29,0.0527182596876707,0.0920467612225354,0.677805972308823,0.0685404627038778,-51.9378227564782,-0.810477235243904,-3.77578923121774,1.02958800822263,-1.15225856155764,50.4137059618318,-3967.29350862718,44.9413835576971,-1820.18057134206,14.4361144406641
